,indicator,1,2,3,4,5,6,7,8,9,10
60,1,151.797698579,151.438295938,151.098860111,151.098860111,150.58970637,150.58970637,151.138793738,150.869241757,149.950768343,148.2436058
61,0,153.844296948,153.924164202,154.642969483,154.86260443,154.553118823,154.583069043,154.473251569,154.233649809,155.801044658,156.300214992
62,-1,163.307568141,163.158815381,163.557752312,163.448334175,163.588101869,163.797753409,164.326873963,164.177122863,164.346840776,164.420418484
63,0,152.93580694,153.295209581,153.554778155,154.173749369,154.193716182,154.193716182,154.123832335,155.04230575,155.571426304,155.491559051
64,1,156.140480485,155.840978284,155.811028064,156.050629825,156.070596638,154.443301349,155.142139817,155.511525864,155.271924104,152.93580694
65,0,155.501542457,155.960779165,156.929169613,156.799385326,156.789401919,156.899219393,156.639650819,155.002372123,155.853856879,155.821011471
66,-1,158.007377534,157.59805786,157.997394127,157.907543467,157.697891927,157.737825554,158.985751389,159.055635236,159.185419522,159.514871943
67,0,155.741144218,155.970762571,157.108870933,155.491559051,155.256948994,154.712853329,155.626335041,156.589733785,157.727842147,158.127178414
68,1,155.741144218,155.741144218,155.741144218,155.771094438,155.741144218,155.970762571,157.108870933,155.491559051,155.256948994,154.712853329
69,0,172.453367001,171.894296227,171.564843806,171.235391386,170.985806219,170.796121492,170.476652478,170.007432364,168.519904769,168.509921362
70,-1,172.323582714,172.283649087,172.313599307,172.403449968,173.88059482,172.892636895,173.052371402,173.781160089,173.970844816,175.049052738
71,0,164.72621023,164.776127264,164.676293197,164.72621023,164.676293197,164.406741216,163.817720222,164.00251308,163.528201428,163.628035495
72,1,161.616199374,160.863499168,161.676016609,161.018027025,161.117722416,161.117722416,160.928301172,160.788727624,159.652200159,159.313235828
73,0,160.459732831,160.747553427,160.998087946,161.466656287,161.91030078,161.641123222,162.064828637,162.234310802,162.14458495,162.084767715
74,-1,155.644445416,156.232648226,154.956547213,155.425115554,156.417583178,155.973440208,156.872792336,156.800911959,156.870698733,163.350899189
75,0,151.168122331,151.407391271,151.123259405,151.138213714,151.975655004,151.975655004,151.836081455,152.434253805,152.882883067,152.633644588
76,1,152.045441778,152.773218137,152.185015326,152.364467031,151.885929151,151.846050994,151.497117124,151.716446985,151.148183253,150.540041364
77,0,153.670476661,153.869867445,153.610659426,153.441177261,153.650537583,153.869867445,154.478009334,154.627552421,154.606915475,153.949623758
78,-1,154.468039794,154.328466246,154.27861855,154.527857029,154.677400117,154.976486292,154.896729978,155.026333987,154.797034587,155.195716458
79,0,151.457238967,151.287756801,151.138213714,150.94879247,151.088366018,150.579919521,150.629767217,151.028548783,150.58988906,152.912791685
80,1,150.729462608,150.659675834,150.749401686,150.94879247,150.29070319,147.339819293,146.841342335,146.622012473,146.452530307,146.093626897
81,0,148.895167098,149.682660996,149.563026526,149.553056987,149.51317883,150.151229337,151.227939566,150.988670626,151.038518322,151.088266323
82,-1,148.336773209,148.456407679,148.667662214,148.895167098,149.682660996,149.563026526,149.553056987,149.51317883,150.151229337,151.227939566
83,0,145.854357957,145.684875792,145.644997635,145.954053349,142.9631916,144.598196023,145.186398833,144.777647728,145.555271782,145.703120048
84,1,145.435637312,145.375820078,145.306033303,145.335941921,145.644997635,145.854357957,145.684875792,145.644997635,145.954053349,142.9631916
85,0,144.009993212,144.169505839,144.877343119,145.734723487,146.54225616,147.349788832,147.589057772,147.698722703,146.317941528,145.435637312
