frame,updown,date,0
15,1.0,2016-11-01,25.95124626159668
15,1.0,2016-11-02,25.97452545166016
15,1.0,2016-11-03,25.696107864379883
15,1.0,2016-11-04,25.46448516845703
15,1.0,2016-11-07,25.831811904907227
15,1.0,2016-11-08,25.983884811401367
15,1.0,2016-11-09,25.94177627563477
15,1.0,2016-11-10,25.218828201293945
15,1.0,2016-11-11,25.36856460571289
15,1.0,2016-11-14,24.73218536376953
16,0.0,2016-12-06,25.724180221557617
16,0.0,2016-12-07,25.976865768432617
16,0.0,2016-12-08,26.23188781738281
16,0.0,2016-12-09,26.660036087036133
16,0.0,2016-12-12,26.50796127319336
16,0.0,2016-12-13,26.950151443481445
16,0.0,2016-12-14,26.950151443481445
16,0.0,2016-12-15,27.09754753112793
16,0.0,2016-12-16,27.132640838623047
16,0.0,2016-12-19,27.289396286010746
17,-1.0,2017-05-01,34.44292068481445
17,-1.0,2017-05-02,34.66145324707031
17,-1.0,2017-05-03,34.55571365356445
17,-1.0,2017-05-04,34.431175231933594
17,-1.0,2017-05-05,35.002174377441406
17,-1.0,2017-05-08,35.953819274902344
17,-1.0,2017-05-09,36.18410873413086
17,-1.0,2017-05-10,36.012569427490234
17,-1.0,2017-05-11,36.324012756347656
17,-1.0,2017-05-12,36.831302642822266
18,0.0,2017-05-16,36.682655334472656
18,0.0,2017-05-17,35.45101547241211
18,0.0,2017-05-18,35.99132537841797
18,0.0,2017-05-19,36.114017486572266
18,0.0,2017-05-22,36.333457946777344
18,0.0,2017-05-23,36.28861999511719
18,0.0,2017-05-24,36.18008041381836
18,0.0,2017-05-25,36.305137634277344
18,0.0,2017-05-26,36.24378967285156
18,0.0,2017-05-30,36.25794982910156
19,1.0,2017-06-05,36.31930160522461
19,1.0,2017-06-06,36.44198989868164
19,1.0,2017-06-07,36.65906524658203
19,1.0,2017-06-08,36.56940460205078
19,1.0,2017-06-09,35.151363372802734
19,1.0,2017-06-12,34.3114013671875
19,1.0,2017-06-13,34.58745193481445
19,1.0,2017-06-14,34.25004196166992
19,1.0,2017-06-15,34.044769287109375
19,1.0,2017-06-16,33.56815719604492
20,0.0,2017-08-01,35.40382766723633
20,0.0,2017-08-02,37.07667922973633
20,0.0,2017-08-03,36.70625686645508
20,0.0,2017-08-04,36.89971923828125
20,0.0,2017-08-07,37.4707260131836
20,0.0,2017-08-08,37.77037048339844
20,0.0,2017-08-09,38.00159454345703
20,0.0,2017-08-10,36.79117965698242
20,0.0,2017-08-11,37.30281829833984
20,0.0,2017-08-14,37.86421585083008
21,-1.0,2017-08-21,37.23887252807617
21,-1.0,2017-08-22,37.84762954711914
21,-1.0,2017-08-23,37.895015716552734
21,-1.0,2017-08-24,37.726829528808594
21,-1.0,2017-08-25,37.86658477783203
21,-1.0,2017-08-28,38.24795150756836
21,-1.0,2017-08-29,38.58904647827149
21,-1.0,2017-08-30,38.69327545166016
21,-1.0,2017-08-31,38.84723663330078
21,-1.0,2017-09-01,38.85907745361328
22,0.0,2017-08-29,38.58904647827149
22,0.0,2017-08-30,38.69327545166016
22,0.0,2017-08-31,38.84723663330078
22,0.0,2017-09-01,38.85907745361328
22,0.0,2017-09-05,38.39244079589844
22,0.0,2017-09-06,38.3521728515625
22,0.0,2017-09-07,38.19820022583008
22,0.0,2017-09-08,37.575225830078125
22,0.0,2017-09-11,38.25504684448242
22,0.0,2017-09-12,38.10345458984375
23,1.0,2017-09-12,38.10345458984375
