,indicator,1,2,3,4,5,6
165,-1,158.254339242,158.304114149,158.284204186,158.294159168,159.787406377,160.991959126
166,0,159.080602698,158.911368014,158.254339242,158.304114149,158.284204186,158.294159168
167,1,159.747586452,161.758492693,162.146736968,161.818222582,159.478801954,152.808964419
168,0,158.333979093,158.214519317,159.349387196,159.747586452,161.758492693,162.146736968
169,0,155.3873046,155.317619731,154.401761442,154.680500921,156.629188529,156.293207907
170,1,157.358390917,157.457940731,157.617220433,157.418120805,156.014468428,153.157388768
171,0,162.136781986,161.151238828,161.788357638,161.499663177,161.330428493,161.280653586
172,-1,157.746635191,157.886004931,158.552988684,158.692358424,159.731558932,162.146736968
173,0,158.493258796,158.353889056,158.284204186,157.746635191,157.886004931,158.552988684
174,1,159.120422624,158.433528907,158.493258796,158.353889056,158.284204186,157.746635191
175,0,165.173051312,165.262646145,164.794762019,164.864446889,165.183006293,165.143186368
176,-1,167.761346475,167.811121382,167.383057182,167.686684114,168.119725805,169.135233457
177,0,163.361244698,163.610119233,164.038183433,164.048138414,163.172100052,164.147688228
178,1,164.297012949,164.436382689,164.416472726,164.416472726,164.257193024,162.266196745
179,0,169.384008442,169.384008442,169.334233535,169.284458628,169.234683721,169.29441361
180,-1,169.184908814,169.2993911,169.349166007,169.364098479,169.334233535,169.384008442
181,0,166.288009228,165.889809972,165.942471824,166.686208484,166.845488186,166.895263093
182,1,164.506067559,164.257193024,164.645437298,164.754942093,164.51602254,162.266196745
183,0,169.364098479,170.065924668,170.260046805,170.160496991,170.737885912,170.429281489
184,-1,176.312675493,176.21312568,176.123530847,176.223080661,176.890064414,177.517228242
185,0,173.137036428,173.117126466,173.216676279,173.137036428,173.017576652,173.614875535
186,1,174.540688805,173.903569996,172.569602489,171.822978884,171.733384052,171.165950112
187,0,175.904521256,176.621279917,177.089164042,177.06925408,177.079209061,177.278308689
188,-1,175.924431219,176.014026052,176.681009805,177.477408317,177.726282852,177.845742628
189,0,174.928933079,174.829383266,174.809473303,174.839338247,173.704470368,175.546141926
190,1,173.714425349,173.734335312,173.893615014,173.973354415,170.568651228,169.961397363
191,0,172.549692526,173.714425349,173.734335312,173.893615014,173.973354415,170.568651228
192,-1,173.385910963,172.549692526,173.714425349,173.734335312,173.893615014,173.973354415
193,0,158.60843793,158.981052884,159.130377605,158.88150307,158.981052884,158.831728163
194,1,154.829825642,155.845233745,156.925349226,156.502262517,155.825323782,153.764642633
195,0,155.52667434,157.039831512,156.900461772,156.691407163,155.078700177,154.829825642
196,-1,154.013517168,154.142931926,153.894057391,153.953787279,155.52667434,157.039831512
197,0,148.826971861,149.354585875,149.334675912,149.633325354,150.001659665,151.60441167
