,indicator,1,2,3,4,5,6,7,8
208,0,154.899510512,154.660590959,153.704912745,155.397259582,152.629774754,153.306713489,153.426173265,151.843331224
209,-1,158.363844038,157.806365079,157.806365079,157.786455117,157.826275042,158.672448461,158.821773182,161.270698605
210,0,160.215470577,161.748537712,159.677901582,158.234429279,157.059741475,156.790956977,157.027885534,158.473348833
211,1,160.613669833,160.026325931,160.215470577,161.748537712,159.677901582,158.234429279,157.059741475,156.790956977
212,0,161.429978307,161.957592321,161.94773689,162.266196745,162.674350982,162.465296372,161.977502284,161.768447675
213,-1,160.66344474,161.260743624,161.529528121,161.429978307,161.957592321,161.94773689,162.266196745,162.674350982
214,0,159.289657307,159.777451396,158.075149577,156.731227089,156.45248761,157.089606419,160.295110428,160.772949535
215,1,157.66699534,161.429978307,162.146736968,159.289657307,159.777451396,158.075149577,156.731227089,156.45248761
216,0,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307,162.146736968,159.289657307,159.777451396
217,-1,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307,162.146736968
218,0,159.080602698,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307
219,1,159.458891991,159.080602698,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534
220,0,164.277102986,162.206466856,163.261694884,162.345836596,161.459843252,160.9521392,159.862068738,158.801863219
221,-1,162.425476447,162.315971652,161.051689014,159.727676489,160.076100838,161.569348047,162.166646931,164.277102986
222,0,163.331379754,162.505016748,162.425476447,162.315971652,161.051689014,159.727676489,160.076100838,161.569348047
223,1,162.992910386,162.793810759,163.331379754,162.505016748,162.425476447,162.315971652,161.051689014,159.727676489
224,0,164.137733247,165.153141349,164.804717,164.565896997,162.425476447,163.211919977,163.724601519,162.992910386
225,-1,165.581205549,165.790260159,165.710620307,165.6608454,166.039134693,166.029179712,167.203867517,168.149590749
226,0,164.486157596,164.206223519,163.5205244,164.655392279,164.456292652,164.436382689,164.625527335,164.555842466
227,1,160.344885335,160.105965782,159.349387196,159.837181284,159.767496414,157.388255861,155.357439656,155.208114935
228,0,169.662747921,168.776754577,170.808032693,168.348690377,168.388510303,168.348690377,169.145088889,169.284458628
229,-1,172.441183229,172.083002998,170.449191452,170.419326507,170.638336098,170.125654556,172.101718363,172.559647507
230,0,168.239185582,167.990311047,168.43828521,168.717024689,168.816574503,167.8011664,168.627429856,168.189410675
231,1,169.234683721,168.936034279,168.537835024,168.020175991,167.980356066,167.711571568,167.44278707,165.849990047
232,0,175.376807692,175.187762596,175.088212782,175.128032707,175.327132335,175.536186945,175.685511666,175.795016461
233,-1,174.102669624,174.560598768,174.461048954,175.207672559,175.307222373,175.655646721,175.894566275,175.964251145
234,0,173.415775907,174.488823352,174.0080973,174.023029773,174.560598768,174.301769252,174.102669624,174.560598768
235,1,171.384959703,171.79311394,171.803068921,171.72342907,171.574104349,171.623879256,171.424779628,171.076355279
236,0,172.400367805,171.603471544,172.141538289,171.842888847,171.832933866,172.947891782,172.71892721,173.316226093
237,-1,174.825285004,173.990132368,172.946191574,173.393594772,173.572556051,173.532588032,174.278458873,175.222877312
238,0,169.545927273,169.834253778,171.017386678,170.579925774,169.834253778,169.864080658,169.874022951,171.90225078
239,1,161.124804866,162.89453307,162.86470619,162.447129872,161.766082783,160.210113885,159.722941514,159.046865571
240,0,160.369190577,160.170344712,160.766882308,161.124804866,162.89453307,162.86470619,162.447129872,161.766082783
241,-1,160.955785881,160.737055428,159.991383433,160.369190577,160.170344712,160.766882308,161.124804866,162.89453307
242,0,163.440762663,159.613576288,159.494268769,160.538209563,160.955785881,160.737055428,159.991383433,160.369190577
243,1,162.95418683,162.009668968,162.188630247,162.606107142,162.611177711,163.440762663,159.613576288,159.494268769
244,0,162.486899045,163.033725176,162.95418683,162.009668968,162.188630247,162.606107142,162.611177711,163.440762663
245,0,159.444557302,157.038522329,159.792537567,159.434615009,162.467014459,162.34770694,162.566437392,162.486899045
246,1,158.867904292,158.032751657,158.04269395,159.604628224,161.820765396,161.616948384,159.444557302,157.038522329
247,0,157.943271017,160.764496158,158.867904292,158.032751657,158.04269395,159.604628224,161.820765396,161.616948384
248,-1,157.883617258,157.943271017,160.764496158,158.867904292,158.032751657,158.04269395,159.604628224,161.820765396
249,0,160.856362948,160.50828326,160.687343962,159.444557302,159.076692451,158.539808614,157.883617258,157.943271017
250,1,161.174516333,160.856362948,160.50828326,160.687343962,159.444557302,159.076692451,158.539808614,157.883617258
251,0,160.150460125,159.206240532,157.804078911,156.511580785,157.973097897,158.659116133,161.363419905,161.174516333
252,-1,160.766882308,160.150460125,159.206240532,157.804078911,156.511580785,157.973097897,158.659116133,161.363419905
253,0,161.313708439,161.174516333,160.766882308,160.150460125,159.206240532,157.804078911,156.511580785,157.973097897
254,1,161.393246785,161.313708439,161.174516333,160.766882308,160.150460125,159.206240532,157.804078911,156.511580785
255,0,163.56066672,162.884590777,162.884590777,163.023782882,163.550724426,163.331993974,162.95418683,162.84979275
256,-1,165.141491351,166.185432145,166.155605265,166.50358553,166.334566544,166.384278011,167.945218055,168.700832344
257,0,167.298869569,165.270741163,164.892934019,165.032126125,165.141491351,166.185432145,166.155605265,166.50358553
