frame,updown,date,0
14,0.0,2017-11-08,112.89227294921876
15,1.0,2017-11-02,114.2180404663086
15,1.0,2017-11-03,112.89971923828124
15,1.0,2017-11-06,112.34856414794922
15,1.0,2017-11-07,112.72840118408205
15,1.0,2017-11-08,112.89227294921876
15,1.0,2017-11-09,113.06527709960938
15,1.0,2017-11-10,112.2077178955078
15,1.0,2017-11-13,111.63597106933594
15,1.0,2017-11-14,112.00460052490234
15,1.0,2017-11-15,110.65802764892578
16,0.0,2017-11-21,114.30653381347656
16,0.0,2017-11-22,114.17108154296876
16,0.0,2017-11-24,114.22379302978516
16,0.0,2017-11-27,114.32908630371094
16,0.0,2017-11-28,114.69768524169922
16,0.0,2017-11-29,115.51013946533205
16,0.0,2017-11-30,115.8261260986328
16,0.0,2017-12-01,116.4203872680664
16,0.0,2017-12-04,117.69922637939452
16,0.0,2017-12-05,116.8642120361328
17,-1.0,2018-01-04,121.64109802246094
17,-1.0,2018-01-05,122.23538970947266
17,-1.0,2018-01-08,122.97260284423828
17,-1.0,2018-01-09,123.24341583251952
17,-1.0,2018-01-10,123.50672912597656
17,-1.0,2018-01-11,123.5217742919922
17,-1.0,2018-01-12,122.72434997558594
17,-1.0,2018-01-16,123.25849151611328
17,-1.0,2018-01-17,126.86933135986328
17,-1.0,2018-01-18,127.2229232788086
18,0.0,2018-01-16,123.25849151611328
18,0.0,2018-01-17,126.86933135986328
18,0.0,2018-01-18,127.2229232788086
18,0.0,2018-01-19,122.14508819580078
18,0.0,2018-01-22,122.31812286376952
18,0.0,2018-01-23,125.06388854980467
18,0.0,2018-01-24,124.4018783569336
18,0.0,2018-01-25,124.47711944580078
18,0.0,2018-01-26,125.88386535644533
18,0.0,2018-01-29,125.47767639160156
19,1.0,2018-01-26,125.88386535644533
19,1.0,2018-01-29,125.47767639160156
19,1.0,2018-01-30,123.08543395996094
19,1.0,2018-01-31,123.1456298828125
19,1.0,2018-02-01,122.1677017211914
19,1.0,2018-02-02,119.6325454711914
19,1.0,2018-02-05,114.74282836914062
19,1.0,2018-02-06,116.856689453125
19,1.0,2018-02-07,115.73583984375
19,1.0,2018-02-08,112.11981201171876
20,0.0,2018-03-02,117.36151885986328
20,0.0,2018-03-05,119.2303237915039
20,0.0,2018-03-06,118.29592895507812
20,0.0,2018-03-07,120.27107238769533
20,0.0,2018-03-08,118.66815948486328
20,0.0,2018-03-09,121.02313232421876
20,0.0,2018-03-12,121.74480438232422
20,0.0,2018-03-13,121.03073120117188
20,0.0,2018-03-14,120.11911010742188
20,0.0,2018-03-15,121.2510223388672
21,-1.0,2018-04-04,117.08045196533205
21,-1.0,2018-04-05,117.01205444335938
21,-1.0,2018-04-06,114.38362884521484
21,-1.0,2018-04-09,115.99410247802734
21,-1.0,2018-04-10,118.04524230957033
21,-1.0,2018-04-11,118.02242279052734
21,-1.0,2018-04-12,120.0811004638672
21,-1.0,2018-04-13,119.04798126220705
21,-1.0,2018-04-16,119.94441986083984
21,-1.0,2018-04-17,122.23860168457033
22,0.0,2018-05-08,108.63289642333984
22,0.0,2018-05-09,109.53925323486328
22,0.0,2018-05-10,110.79125213623048
22,0.0,2018-05-11,110.71444702148438
22,0.0,2018-05-14,110.83736419677734
22,0.0,2018-05-15,110.4072036743164
22,0.0,2018-05-16,111.09082794189452
22,0.0,2018-05-17,110.99095153808594
22,0.0,2018-05-18,110.66836547851562
22,0.0,2018-05-21,111.75140380859376
23,1.0,2018-06-14,111.5286636352539
23,1.0,2018-06-15,111.674560546875
23,1.0,2018-06-18,110.97561645507812
