,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
50,-1,145.737770724,145.74775413,145.56805281,145.757737537,144.679529615,144.330110382,144.689513022,144.559728735,144.110475435,144.954073299,143.37170334,144.140425655,145.203658466,145.105920915,146.172548085,146.177040618,146.037272924,145.907488637,146.157073804,147.065563812
51,0,137.361692519,137.291808672,136.742721304,137.042223505,137.501460212,137.880829666,138.370016593,139.178672534,140.985669144,140.596316283,141.175353871,141.863110757,142.654195902,142.203644759,142.443246519,142.513130366,142.323445639,142.732765313,144.719463242,144.909147969
52,1,141.654557391,141.914125965,142.173694539,143.301819494,142.652898059,142.553063992,141.724441238,141.594656951,141.884175745,142.034026679,141.08550321,140.955718924,140.131189366,139.478174735,137.850879446,137.810945819,137.281825265,137.361692519,137.291808672,136.742721304
53,0,149.551432076,149.281880095,149.251929875,149.231963062,149.122145588,147.245265132,147.754418873,145.987355891,146.346758531,146.306824904,143.860890268,142.962383666,143.346744824,141.910032768,141.254222783,140.506465623,142.353395859,141.784341678,141.654557391,141.914125965
54,-1,151.448279345,150.829308131,151.767748359,151.498196378,151.558096818,151.528146598,151.697864512,151.647947479,146.436609191,145.50815237,145.667886877,145.757737537,147.594684366,145.558069403,145.996340957,147.11558068,147.514817113,147.155414472,148.553091408,149.551432076
55,0,152.416669793,151.967416492,152.536470673,152.746122213,152.66625496,153.664595628,153.22153204,151.323486761,151.448279345,150.829308131,151.767748359,151.498196378,151.558096818,151.528146598,151.697864512,151.647947479,146.436609191,145.50815237,145.667886877,145.757737537
56,1,150.52980593,150.849274944,152.416669793,151.967416492,152.536470673,152.746122213,152.66625496,153.664595628,153.22153204,151.323486761,151.448279345,150.829308131,151.767748359,151.498196378,151.558096818,151.528146598,151.697864512,151.647947479,146.436609191,145.50815237
57,0,151.647947479,151.128810331,149.860917683,151.278561431,150.49985571,150.340121203,150.399023303,150.52980593,150.849274944,152.416669793,151.967416492,152.536470673,152.746122213,152.66625496,153.664595628,153.22153204,151.323486761,151.448279345,150.829308131,151.767748359
58,-1,149.301846909,149.551432076,150.280220763,152.428450213,152.266918693,151.647947479,151.128810331,149.860917683,151.278561431,150.49985571,150.340121203,150.399023303,150.52980593,150.849274944,152.416669793,151.967416492,152.536470673,152.746122213,152.66625496,153.664595628
59,0,152.306852319,152.446120843,152.566420893,152.446620013,152.376736166,152.539964865,152.286885506,152.746122213,151.368412091,150.709507251,150.05060241,150.20035351,149.910834716,149.771067023,149.711166582,150.010668783,149.920718289,149.461481581,148.453257341,150.280220763
60,1,151.603022148,152.306852319,152.446120843,152.566420893,152.446620013,152.376736166,152.539964865,152.286885506,152.746122213,151.368412091,150.709507251,150.05060241,150.20035351,149.910834716,149.771067023,149.711166582,150.010668783,149.920718289,149.461481581,148.453257341
61,0,156.739484886,156.549800159,156.230331145,156.420015872,156.489899719,156.449966092,156.559783565,157.038987086,156.76953494,156.205372628,156.049232148,156.830333886,157.62800808,158.077261381,153.454944088,153.195375514,153.002196595,152.276902099,152.197034846,154.203699589
