Date,AAPL
2016-09-28,26.523855209350586
2016-09-29,26.111858367919922
2016-09-30,26.314369201660156
2016-10-03,26.19099998474121
2016-10-04,26.3027286529541
2016-10-05,26.314369201660156
2016-10-06,26.5098934173584
2016-10-07,26.549461364746094
2016-10-10,27.012670516967773
2016-10-11,27.07086181640625
2016-10-12,27.312936782836914
2016-10-13,27.229143142700195
2016-10-14,27.38043975830078
2016-10-17,27.361820220947266
2016-10-18,27.343202590942383
2016-10-19,27.26173210144043
2016-10-20,27.24776268005371
2016-10-21,27.140689849853516
2016-10-24,27.385099411010742
2016-10-25,27.524757385253906
2016-10-26,26.905595779418945
2016-10-27,26.64723014831543
2016-10-28,26.470317840576172
2016-10-31,26.428422927856445
2016-11-01,25.95124626159668
2016-11-02,25.974525451660156
